cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
4,684,37,queue_pressure_persist_spot_1bps_900s_btc,queue_pressure_persist_spot_1bps_900s,Dynamics,B5_dynamics,0.896,0.620436,0.433624
4,684,38,volume_fut_900s_btc,volume_fut_900s,Activity,B3_flow,-0.8952,8.082469,8.618073
4,684,39,volume_spot_300s_btc,volume_spot_300s,Activity,B3_flow,-0.8934,5.026507,5.622825
4,684,40,volume_spot_900s_btc,volume_spot_900s,Activity,B3_flow,-0.8872,5.76185,6.311388
4,684,41,absorption_volume_bid_spot_1bps_60s_eth,absorption_volume_bid_spot_1bps_60s,Absorption,B3_flow,-0.8819,17.191517,18.061117
4,684,42,volume_fut_300s_eth,volume_fut_300s,Activity,B3_flow,-0.8782,10.482665,11.112123
4,684,43,refill_rate_spot_10bps_60s_btc,refill_rate_spot_10bps_60s,Liquidity Events,B3_flow,-0.8755,0.047461,0.064548
4,684,44,volume_fut_300s_btc,volume_fut_300s,Activity,B3_flow,-0.8697,7.443898,7.977973
4,684,45,refill_rate_spot_10bps_60s_eth,refill_rate_spot_10bps_60s,Liquidity Events,B3_flow,-0.8697,0.051946,0.074599
4,684,46,mad_taker_imbalance_fut_5s_eth,mad_taker_imbalance_fut_5s,Dynamics,B5_dynamics,0.8673,0.282055,0.236544
4,684,47,median_refill_rate_fut_10bps_60s_btc,median_refill_rate_fut_10bps_60s,Dynamics,B5_dynamics,-0.8664,0.030668,0.054681
4,684,48,refill_rate_shock_spot_1bps_60s_btc,refill_rate_shock_spot_1bps_60s,Dynamics,B5_dynamics,0.8663,2.224894,0.815554
4,684,49,z_refill_rate_spot_1bps_60s_btc,z_refill_rate_spot_1bps_60s,Normalization,B5_dynamics,0.8663,2.224894,0.815554
4,684,50,absorption_asymmetry_fut_1bps_60s_btc,absorption_asymmetry_fut_1bps_60s,Absorption,B3_flow,0.8641,0.320481,-0.09962
5,1075,1,price_vs_va_60m_fut_eth,price_vs_va_60m_fut,Volume Profile,B6_context,0.8466,1.700465,1.113414
5,1075,2,price_vs_va_1d_fut_eth,price_vs_va_1d_fut,Volume Profile,B6_context,0.8261,1.648372,1.078628
5,1075,3,price_vs_va_60m_fut_btc,price_vs_va_60m_fut,Volume Profile,B6_context,0.8252,1.722791,1.126281
5,1075,4,price_vs_va_1d_fut_btc,price_vs_va_1d_fut,Volume Profile,B6_context,0.8157,1.603721,1.045985
5,1075,5,price_vs_ema_50_5m_bps_fut_btc,price_vs_ema_50_5m_bps_fut,Trend,B6_context,0.8153,134.414627,34.170139
5,1075,6,price_vs_va_240m_fut_btc,price_vs_va_240m_fut,Volume Profile,B6_context,0.7986,1.655814,1.0934
5,1075,7,price_vs_va_240m_fut_eth,price_vs_va_240m_fut,Volume Profile,B6_context,0.7929,1.662326,1.115797
