asset,hz,thr,pca,k,cluster,trade_dir,n,ratio_15,ratio_30,ratio_60,ratio_120,ratio_300,DA_win,DA_60,DA_max,n_test
btc,30s,10,50,8,1,-1,16262,1.0,1.062,1.079,1.136,1.086,0.5772,0.5457,0.5772,2143.0
eth,15s,40,150,8,2,-1,222,1.258,1.145,1.222,1.355,1.591,0.5771,0.67,0.67,201.0
btc,15s,20,300,10,0,-1,975,1.138,1.063,1.113,1.02,1.155,0.577,0.6133,0.6133,825.0
btc,15s,10,600,10,9,-1,6764,0.862,0.94,1.008,1.017,1.051,0.5769,0.5347,0.5769,1482.0
eth,5s,10,150,8,2,-1,4274,0.969,1.053,1.036,1.013,1.068,0.5763,0.5476,0.5763,1973.0
btc,15s,10,150,10,3,-1,6755,0.861,0.94,1.007,1.016,1.051,0.5763,0.5343,0.5763,1487.0
btc,5s,10,150,6,1,1,2238,1.349,1.411,1.318,1.248,1.339,0.5762,0.5373,0.6278,269.0
btc,5s,10,50,6,5,1,2290,1.348,1.408,1.316,1.239,1.356,0.5758,0.5741,0.6245,264.0
btc,5s,10,600,6,3,1,2258,1.336,1.399,1.309,1.235,1.319,0.5756,0.5481,0.6343,271.0
btc,30s,15,150,8,2,-1,6862,0.944,1.027,1.094,1.126,1.149,0.5725,0.5291,0.5725,1532.0
btc,15s,10,300,10,3,-1,6750,0.862,0.942,1.013,1.026,1.062,0.5724,0.5351,0.5724,1422.0
eth,30s,20,150,8,3,-1,7808,0.949,0.998,1.026,1.0,1.006,0.5723,0.5624,0.5723,1625.0
eth,5s,15,300,8,4,-1,1283,1.068,1.069,1.031,1.071,1.158,0.5717,0.575,0.575,593.0
eth,30s,10,300,8,5,-1,3598,1.013,1.062,1.167,1.198,1.178,0.5714,0.5712,0.605,833.0
btc,30s,20,300,8,1,-1,2879,1.052,1.079,1.117,1.171,1.071,0.5714,0.4921,0.5986,441.0
btc,15s,20,600,8,1,-1,1075,1.258,1.168,1.16,1.012,1.112,0.5711,0.6081,0.6081,935.0
btc,30s,15,600,8,6,-1,6769,0.961,1.053,1.118,1.155,1.172,0.571,0.5292,0.571,1613.0
eth,30s,10,150,8,5,-1,3602,1.021,1.068,1.17,1.195,1.175,0.5704,0.574,0.604,831.0
btc,30s,20,150,8,3,-1,2951,1.045,1.078,1.113,1.177,1.084,0.5702,0.4833,0.5969,449.0
eth,30s,20,50,8,4,-1,7673,0.946,0.997,1.024,1.0,1.011,0.5702,0.5589,0.5702,1603.0
btc,15s,10,50,10,1,-1,6677,0.87,0.945,1.016,1.022,1.051,0.5702,0.5276,0.5702,1482.0
btc,30s,30,50,8,5,-1,655,0.992,1.076,1.442,1.602,1.208,0.5701,0.6042,0.6042,335.0
eth,30s,20,600,8,3,-1,7809,0.929,1.038,1.073,1.092,1.066,0.5695,0.5741,0.5983,5324.0
btc,30s,15,300,8,5,-1,7111,0.903,1.003,1.063,1.089,1.099,0.5687,0.5162,0.5757,1433.0
btc,5s,10,300,6,5,1,2470,1.32,1.39,1.32,1.249,1.396,0.5685,0.5842,0.6055,292.0
btc,15s,20,50,8,4,-1,1070,1.21,1.115,1.125,0.995,1.103,0.5681,0.6078,0.6078,947.0
btc,30s,15,150,8,0,-1,5913,1.112,1.13,1.056,1.028,0.999,0.5681,0.5304,0.5681,1593.0
btc,30s,15,300,8,7,-1,6867,0.943,1.025,1.093,1.127,1.149,0.5679,0.5249,0.5679,1509.0
btc,30s,30,300,8,2,-1,737,1.152,1.196,1.45,1.633,1.365,0.5677,0.5756,0.6065,310.0
btc,30s,15,600,8,3,-1,6988,0.889,0.995,1.063,1.097,1.106,0.5675,0.5099,0.5727,1422.0
eth,5s,20,300,10,1,-1,202,1.082,1.153,1.244,1.245,1.131,0.5669,0.4906,0.5696,157.0
btc,30s,15,300,8,1,-1,5915,1.117,1.129,1.057,1.029,0.999,0.5664,0.5308,0.5664,1635.0
btc,15s,10,300,8,7,-1,7869,0.888,0.956,1.004,1.004,1.017,0.566,0.5391,0.566,1712.0
eth,15s,10,600,10,0,-1,9588,0.892,0.959,1.004,1.004,1.041,0.5658,0.5648,0.5658,7151.0
btc,30s,20,50,8,3,-1,2896,1.047,1.081,1.119,1.181,1.081,0.5657,0.4833,0.5991,449.0
btc,30s,15,150,8,1,-1,7111,0.898,1.001,1.062,1.087,1.1,0.5653,0.5171,0.5767,1447.0
eth,15s,10,150,10,3,-1,9663,0.888,0.956,1.003,1.006,1.044,0.5651,0.5645,0.5651,7220.0
btc,30s,15,50,8,1,-1,6599,0.965,1.049,1.12,1.161,1.178,0.5644,0.518,0.5644,1529.0
eth,15s,10,300,10,7,-1,9627,0.896,0.961,1.003,1.005,1.043,0.564,0.5639,0.564,7159.0
btc,15s,10,600,8,7,-1,7865,0.889,0.957,1.006,1.005,1.021,0.5634,0.5387,0.5634,1743.0
btc,15s,10,150,8,7,-1,7870,0.891,0.959,1.009,1.01,1.025,0.5632,0.5379,0.5632,1740.0
btc,15s,10,50,8,3,-1,7698,0.881,0.951,1.004,1.005,1.021,0.5629,0.5397,0.5629,1725.0
eth,15s,10,50,10,4,-1,9694,0.887,0.958,1.003,1.003,1.037,0.5629,0.563,0.563,7228.0
eth,30s,30,50,8,2,-1,2583,1.032,1.12,1.079,1.076,1.027,0.5618,0.5498,0.5902,1878.0
btc,30s,15,50,8,2,-1,6765,0.895,1.005,1.077,1.106,1.12,0.5616,0.5123,0.5651,1389.0
btc,15s,10,50,10,2,-1,4502,1.019,1.033,1.023,0.994,1.002,0.5613,0.5362,0.5613,3312.0
btc,15s,30,600,10,4,-1,311,0.783,0.939,1.117,1.007,1.202,0.5611,0.573,0.5833,180.0
btc,30s,20,50,6,0,-1,3480,0.845,0.972,1.02,0.877,0.834,0.5604,0.4707,0.6264,546.0
eth,30s,30,600,8,5,-1,2612,1.022,1.105,1.072,1.073,1.033,0.5603,0.5506,0.5877,1906.0
btc,15s,20,150,8,5,-1,1117,1.14,1.067,1.077,0.958,1.12,0.56,0.6175,0.6175,950.0
btc,30s,20,150,6,2,-1,3552,0.832,0.953,1.009,0.862,0.827,0.5599,0.4678,0.6262,543.0
btc,30s,15,150,10,7,-1,349,0.939,0.935,1.005,1.005,1.054,0.5596,0.5378,0.5596,109.0
btc,15s,20,50,10,1,-1,744,1.293,1.209,1.18,1.023,1.062,0.5592,0.6084,0.6084,642.0
btc,30s,30,600,8,4,-1,684,1.014,1.08,1.373,1.548,1.212,0.5589,0.5906,0.5906,297.0
btc,30s,20,50,8,1,-1,3146,0.935,1.037,1.083,1.097,1.114,0.5589,0.5082,0.5796,492.0
btc,15s,10,150,10,2,-1,4490,1.015,1.025,1.017,0.989,1.007,0.5584,0.5339,0.561,3333.0
eth,30s,15,300,8,6,-1,12306,0.964,1.041,1.077,1.091,1.046,0.5583,0.5684,0.5684,10297.0
eth,15s,30,600,6,4,1,859,1.719,1.742,1.844,1.698,1.369,0.5573,0.5194,0.6094,131.0
eth,30s,15,50,8,5,-1,12334,0.965,1.039,1.076,1.09,1.046,0.5573,0.5671,0.5671,10287.0
eth,30s,40,600,8,4,-1,434,0.999,1.079,1.105,0.941,0.958,0.5572,0.5701,0.6946,332.0
btc,15s,10,300,10,0,-1,4444,1.02,1.029,1.021,0.992,1.008,0.557,0.5323,0.5612,3300.0
btc,15s,10,600,10,5,-1,4435,1.023,1.032,1.022,0.988,1.003,0.5563,0.5334,0.5592,3279.0
eth,15s,30,300,8,3,1,608,0.943,1.048,1.042,1.257,1.283,0.5556,0.3958,0.6597,144.0
btc,30s,20,600,6,3,-1,3484,0.837,0.96,1.01,0.861,0.823,0.5549,0.4637,0.622,537.0
btc,30s,40,600,10,1,-1,280,0.933,0.99,1.017,1.032,1.058,0.5545,0.4957,0.6239,110.0
btc,30s,20,300,6,3,-1,3470,0.841,0.965,1.015,0.864,0.825,0.5545,0.4658,0.6248,541.0
eth,15s,20,600,10,4,1,2384,0.854,0.925,1.003,1.025,1.096,0.5545,0.5434,0.5594,440.0
btc,30s,20,300,8,3,-1,3248,0.919,1.025,1.06,1.089,1.116,0.5542,0.5129,0.5743,507.0
btc,30s,20,600,8,4,-1,3221,0.944,1.044,1.083,1.101,1.114,0.554,0.503,0.5759,509.0
eth,5s,10,600,10,7,-1,2058,1.043,1.072,1.028,0.972,0.948,0.5538,0.5518,0.578,1087.0
eth,5s,10,300,10,4,-1,2183,1.062,1.101,1.05,0.983,0.955,0.5536,0.5542,0.5859,1185.0
btc,15s,20,300,10,8,1,1010,1.171,1.164,1.119,1.094,0.997,0.5533,0.3571,0.5632,197.0
eth,5s,15,300,10,5,-1,1101,1.075,1.066,1.036,1.091,1.12,0.5532,0.6006,0.6006,376.0
eth,30s,15,600,8,2,-1,12342,0.963,1.037,1.07,1.082,1.042,0.553,0.5641,0.5641,10361.0
eth,30s,10,50,8,1,-1,33324,0.922,0.983,1.006,1.012,0.997,0.5515,0.552,0.552,16795.0
btc,30s,20,150,8,4,-1,3266,0.921,1.036,1.065,1.079,1.108,0.5514,0.5011,0.5705,477.0
eth,5s,10,50,10,4,-1,2442,1.004,1.044,1.023,0.968,0.964,0.5511,0.5457,0.5739,1261.0
eth,30s,10,600,8,1,-1,33418,0.919,0.98,1.003,1.009,0.995,0.5511,0.5512,0.5512,16626.0
btc,5s,15,50,8,3,-1,266,0.976,1.165,1.156,1.113,0.911,0.5507,0.5786,0.6304,138.0
