asset,hz,thr_bps,pca_dim,k,n_clusters,n_reversal,n_continuation,best_mfe_mae_ratio,best_ratio_mfe_lift,best_ratio_n,mean_mfe_mae_ratio,perm_p,is_final_retained
btc,30s,40,300,6,6,5,1,0.782,0.438,355,0.4635,0.965,False
btc,30s,40,300,8,8,7,1,4.802,2.01,33,2.3084,0.001,False
btc,30s,40,300,10,7,4,3,1.619,0.573,40,1.0031,0.038,False
btc,30s,40,600,6,6,4,2,5.715,2.437,40,1.3908,0.001,False
btc,30s,40,600,8,8,5,3,5.904,1.91,58,2.5353,0.001,False
btc,30s,40,600,10,7,4,3,1.619,0.573,40,1.0064,0.0809,False
btc,5s,10,50,6,6,5,1,1.316,1.401,2290,0.9237,0.0679,False
btc,5s,10,50,8,8,7,1,1.12,1.09,1725,0.9784,0.4695,False
btc,5s,10,50,10,9,8,1,1.119,0.994,645,1.0286,0.2957,False
btc,5s,10,150,6,6,5,1,1.374,0.693,28,1.0142,0.2278,False
btc,5s,10,150,8,8,6,2,1.106,1.156,1321,0.9098,0.5884,False
btc,5s,10,150,10,10,9,1,1.134,0.996,577,1.0166,0.2887,False
btc,5s,10,300,6,6,4,2,1.32,1.371,2470,0.912,0.0609,False
btc,5s,10,300,8,8,7,1,1.123,1.153,1524,0.9411,0.5305,False
btc,5s,10,300,10,9,8,1,1.191,1.128,755,1.0081,0.1259,False
btc,5s,10,600,6,6,5,1,1.374,0.693,28,1.014,0.2268,False
btc,5s,10,600,8,8,6,2,1.099,1.056,1710,0.9794,0.5554,False
btc,5s,10,600,10,9,8,1,1.111,0.986,611,1.012,0.3586,False
btc,5s,15,50,6,5,5,0,1.015,0.994,166,0.6884,0.1479,False
btc,5s,15,50,8,7,5,2,1.471,1.601,312,1.076,0.0859,False
btc,5s,15,50,10,10,9,1,2.444,1.204,42,1.1557,0.003,False
btc,5s,15,150,6,5,5,0,0.787,1.14,493,0.617,0.4545,False
btc,5s,15,150,8,7,6,1,1.447,1.613,296,0.9761,0.1518,False
btc,5s,15,150,10,9,8,1,6.039,1.317,21,1.5697,0.001,False
btc,5s,15,300,6,5,4,1,1.776,0.933,117,0.929,0.021,False
btc,5s,15,300,8,6,5,1,1.475,1.557,319,1.0098,0.0599,False
btc,5s,15,300,10,10,8,2,2.008,1.193,51,1.2061,0.024,False
btc,5s,15,600,6,5,5,0,0.767,0.734,405,0.6522,0.5914,False
btc,5s,15,600,8,7,7,0,1.363,1.3,311,1.0133,0.0789,False
btc,5s,15,600,10,8,7,1,1.192,1.055,92,1.0046,0.3407,False
btc,5s,20,50,6,5,4,1,2.072,1.261,36,1.2974,0.011,False
btc,5s,20,50,6,5,4,1,1.193,0.509,53,0.8424,0.3896,False
btc,5s,20,50,6,5,4,1,1.896,0.951,29,1.0874,0.0819,False
btc,5s,20,150,6,5,4,1,1.727,1.167,38,1.2162,0.03,False
btc,5s,20,150,6,5,5,0,0.739,0.391,45,0.5978,0.9061,False
btc,5s,20,150,6,5,5,0,1.969,1.737,161,1.1374,0.044,False
btc,5s,20,300,6,5,3,2,1.752,1.103,27,1.1568,0.0569,False
btc,5s,20,300,6,5,3,2,2.706,1.09,50,1.3038,0.017,False
btc,5s,20,300,6,5,3,2,1.677,1.298,130,1.5014,0.0719,False
btc,5s,20,600,6,4,3,1,1.515,1.096,44,1.1883,0.0799,False
btc,5s,20,600,6,4,4,0,0.754,1.106,155,0.6102,0.7223,False
btc,5s,20,600,6,4,4,0,1.282,1.431,229,1.0978,0.6763,False
eth,15s,10,50,6,6,6,0,1.314,0.652,202,0.9283,0.033,False
eth,15s,10,50,8,8,8,0,0.996,0.914,16333,0.9406,0.6064,False
eth,15s,10,50,10,10,9,1,1.003,1.121,9694,0.933,0.5914,False
eth,15s,10,150,6,6,6,0,1.314,0.652,202,0.9287,0.033,False
eth,15s,10,150,8,8,8,0,0.994,0.918,16433,0.9407,0.6354,False
eth,15s,10,150,10,10,9,1,1.003,1.123,9663,0.9325,0.5864,False
eth,15s,10,300,6,6,6,0,1.314,0.652,202,0.9285,0.033,False
eth,15s,10,300,8,8,8,0,0.991,1.193,13341,0.9403,0.6863,False
eth,15s,10,300,10,10,9,1,1.003,1.121,9627,0.9316,0.5874,False
eth,15s,10,600,6,6,6,0,1.314,0.652,202,0.9285,0.033,False
eth,15s,10,600,8,8,8,0,0.993,1.195,13313,0.9396,0.6513,False
eth,15s,10,600,10,10,9,1,1.004,1.123,9588,0.9318,0.5804,False
eth,15s,15,50,6,6,4,2,1.141,0.865,688,0.8927,0.041,False
eth,15s,15,50,8,8,6,2,1.24,1.252,669,1.0005,0.1948,False
eth,15s,15,50,10,10,7,3,1.2,1.298,599,0.9941,0.2398,False
eth,15s,15,150,6,6,4,2,1.25,0.815,606,0.911,0.025,False
eth,15s,15,150,8,8,6,2,1.238,1.259,663,0.9986,0.1978,False
eth,15s,15,150,10,10,7,3,1.075,1.057,4147,0.9608,0.4336,False
eth,15s,15,300,6,6,4,2,1.268,0.983,4246,0.8308,0.2018,False
eth,15s,15,300,8,8,6,2,1.042,1.144,4334,0.9576,0.4296,False
eth,15s,15,300,10,10,8,2,1.038,1.181,4163,0.9305,0.6334,False
eth,15s,15,600,6,6,4,2,1.035,1.299,6541,0.781,0.3956,False
eth,15s,15,600,8,8,6,2,1.049,1.147,1143,0.9733,0.4565,False
eth,15s,15,600,10,10,7,3,1.239,1.337,552,0.9776,0.1988,False
eth,15s,20,50,6,5,3,2,1.026,0.489,786,0.861,0.0889,False
eth,15s,20,50,8,7,3,4,1.246,1.27,377,0.9656,0.008,False
eth,15s,20,50,10,9,7,2,1.059,1.139,1775,0.9352,0.5005,False
eth,15s,20,150,6,6,4,2,1.078,0.493,1372,0.8023,0.1938,False
eth,15s,20,150,8,7,3,4,1.264,1.284,377,1.0253,0.007,False
eth,15s,20,150,10,9,5,4,1.225,1.327,332,0.9966,0.008,False
eth,15s,20,300,6,5,3,2,1.009,0.476,751,0.8456,0.0879,False
eth,15s,20,300,8,7,4,3,1.27,1.29,375,1.0159,0.005,False
eth,15s,20,300,10,9,6,3,1.109,0.936,335,0.9294,0.1958,False
eth,15s,20,600,6,5,3,2,0.999,0.473,756,0.8434,0.0939,False
eth,15s,20,600,8,7,4,3,1.043,1.018,2461,0.9647,0.3556,False
eth,15s,20,600,10,9,5,4,1.226,1.324,333,0.9957,0.041,False
eth,15s,30,50,6,5,2,3,2.166,1.687,835,1.049,0.0869,False
eth,15s,30,50,8,7,3,4,1.01,0.909,809,0.8863,0.998,False
eth,15s,30,50,10,9,5,4,1.567,1.218,124,1.0051,0.0879,False
eth,15s,30,150,6,5,2,3,1.867,1.585,1033,1.2788,0.001,False
eth,15s,30,150,8,7,5,2,1.107,1.206,511,0.9571,0.4735,False
eth,15s,30,150,10,8,6,2,1.13,0.947,532,0.931,0.5694,False
eth,15s,30,300,6,6,4,2,1.023,1.108,825,0.6592,0.4855,False
eth,15s,30,300,8,8,4,4,1.508,1.461,223,0.9954,0.008,False
eth,15s,30,300,10,9,6,3,1.195,1.032,422,0.9392,0.3826,False
eth,15s,30,600,6,6,3,3,1.844,1.739,859,0.8748,0.0969,False
eth,15s,30,600,8,7,4,3,1.079,0.919,385,0.8951,0.7203,False
eth,15s,30,600,10,9,4,5,1.465,1.092,140,0.9544,0.1239,False
eth,15s,40,50,6,6,4,2,2.184,1.825,338,0.9395,0.1469,False
eth,15s,40,50,8,8,6,2,2.833,0.884,45,1.197,0.003,False
eth,15s,40,50,10,9,6,3,2.144,1.774,112,0.7806,0.022,False
eth,15s,40,150,6,6,4,2,3.284,1.914,240,1.0558,0.022,False
eth,15s,40,150,8,7,6,1,1.641,1.515,50,1.1164,0.0729,False
eth,15s,40,150,10,10,6,4,3.681,2.222,27,1.4734,0.001,False
eth,15s,40,300,6,6,4,2,4.857,1.289,33,1.6785,0.003,False
eth,15s,40,300,8,8,6,2,1.961,1.912,77,0.991,0.037,False
eth,15s,40,300,10,10,7,3,3.026,2.179,35,1.2009,0.002,False
eth,15s,40,600,6,6,4,2,8.854,6.604,26,2.4962,0.001,False
eth,15s,40,600,8,8,5,3,3.415,1.639,33,1.1716,0.001,False
eth,15s,40,600,10,10,7,3,2.411,2.247,67,1.1536,0.009,False
eth,1s,10,50,6,5,5,0,0.994,1.278,200,0.8522,0.2378,False
eth,1s,10,50,8,6,6,0,1.008,1.211,227,0.8375,0.4156,False
eth,1s,10,50,10,8,7,1,0.983,0.978,266,0.8609,0.7403,False
eth,1s,10,150,6,5,4,1,1.012,1.178,249,0.8722,0.3786,False
eth,1s,10,150,8,5,4,1,0.903,1.173,199,0.8176,0.7792,False
eth,1s,10,150,10,8,7,1,0.923,1.301,117,0.8333,0.9191,False
eth,1s,10,300,6,5,5,0,1.029,1.184,259,0.8364,0.3067,False
eth,1s,10,300,8,6,5,1,1.005,1.198,241,0.875,0.4755,False
eth,1s,10,300,10,8,7,1,1.209,3.454,27,0.9004,0.2697,False
eth,1s,10,600,6,6,6,0,1.018,1.202,241,0.86,0.3616,False
eth,1s,10,600,8,7,7,0,0.988,1.074,46,0.8726,0.6134,False
eth,1s,10,600,10,7,6,1,0.909,0.548,328,0.8341,0.9241,False
eth,1s,15,50,6,4,3,1,0.901,1.102,191,0.8175,0.993,False
eth,1s,15,50,6,4,3,1,0.901,1.102,191,0.8175,0.993,False
eth,1s,15,50,6,4,3,1,0.901,1.102,191,0.8175,0.993,False
eth,1s,15,150,6,4,4,0,1.095,1.108,117,0.9047,0.2537,False
eth,1s,15,150,6,4,4,0,1.095,1.108,117,0.9047,0.2537,False
eth,1s,15,150,6,4,4,0,1.095,1.108,117,0.9047,0.2537,False
eth,1s,15,300,6,4,4,0,1.466,1.989,24,1.009,0.0959,False
eth,1s,15,300,6,4,4,0,1.466,1.989,24,1.009,0.0959,False
eth,1s,15,300,6,4,4,0,1.466,1.989,24,1.009,0.0959,False
eth,1s,15,600,6,4,3,1,1.03,1.328,139,0.8425,0.5455,False
eth,1s,15,600,6,4,3,1,1.03,1.328,139,0.8425,0.5455,False
eth,1s,15,600,6,4,3,1,1.03,1.328,139,0.8425,0.5455,False
eth,30s,10,50,6,6,6,0,1.06,0.404,424,0.9053,0.0629,False
eth,30s,10,50,8,8,8,0,1.539,1.504,424,1.0881,0.001,False
eth,30s,10,50,10,10,6,4,1.002,0.962,31811,0.9696,0.7123,False
eth,30s,10,150,6,6,6,0,1.06,0.404,424,0.9053,0.0629,False
eth,30s,10,150,8,8,8,0,1.539,1.504,424,1.1004,0.001,False
eth,30s,10,150,10,10,7,3,1.006,0.961,31711,0.9687,0.6454,False
eth,30s,10,300,6,6,6,0,1.06,0.404,424,0.9055,0.0629,False
eth,30s,10,300,8,8,8,0,1.539,1.504,424,1.1001,0.001,False
eth,30s,10,300,10,10,7,3,1.004,0.963,31887,0.9673,0.6963,False
eth,30s,10,600,6,6,6,0,1.06,0.404,424,0.9057,0.0629,False
eth,30s,10,600,8,8,8,0,1.539,1.504,424,1.0881,0.001,False
eth,30s,10,600,10,10,7,3,1.005,0.964,31612,0.968,0.6743,False
eth,30s,15,50,6,6,6,0,1.229,0.369,142,0.9068,0.1049,False
eth,30s,15,50,8,8,8,0,1.91,1.768,142,1.1667,0.001,False
eth,30s,15,50,10,10,7,3,1.052,1.034,7274,0.9605,0.4346,False
eth,30s,15,150,6,6,6,0,1.229,0.369,142,0.9067,0.1049,False
eth,30s,15,150,8,8,8,0,1.91,1.768,142,1.1684,0.001,False
eth,30s,15,150,10,10,7,3,1.048,1.034,7290,0.9636,0.4496,False
eth,30s,15,300,6,6,6,0,1.229,0.369,142,0.9068,0.1049,False
eth,30s,15,300,8,8,8,0,1.91,1.768,142,1.1647,0.001,False
