column,vif,bare_name,base_concept,group,asset,stage,window_s,market_scope
d1_taker_imbalance_spot_15s_btc,8.2811,d1_taker_imbalance_spot_15s,d1_taker_imbalance,Dynamics,btc,S3,,Spot
absorb_refill_bid_fut_10bps_1s_btc,8.2732,absorb_refill_bid_fut_10bps_1s,absorb_refill_bid_10bps,Absorption,btc,S2,1.0,Futures
net_add_robust_z_fut_2bps_15s_btc,8.2726,net_add_robust_z_fut_2bps_15s,net_add_robust_z_2bps,Pressure,btc,S5,15.0,Futures
net_pressure_shock_fut_10bps_15s_btc,8.2535,net_pressure_shock_fut_10bps_15s,net_pressure_shock_10bps,Dynamics,btc,S4,,Futures
absorption_volume_ask_spot_1bps_15s_btc,8.2363,absorption_volume_ask_spot_1bps_15s,absorption_volume_ask_1bps,Absorption,btc,S1,15.0,Spot
median_net_pressure_fut_2bps_15s_btc,8.187,median_net_pressure_fut_2bps_15s,median_net_pressure_2bps,Dynamics,btc,S4,15.0,Futures
queue_pressure_shock_fut_2bps_60s_btc,8.1666,queue_pressure_shock_fut_2bps_60s,queue_pressure_shock_2bps,Dynamics,btc,S2,60.0,Futures
net_cancel_robust_z_spot_2bps_15s_btc,8.1489,net_cancel_robust_z_spot_2bps_15s,net_cancel_robust_z_2bps,Pressure,btc,S5,15.0,Spot
median_vacuum_score_spot_5bps_15s_btc,8.135,median_vacuum_score_spot_5bps_15s,median_vacuum_score_5bps,Dynamics,btc,S4,15.0,Spot
net_add_robust_z_spot_2bps_15s_btc,8.0223,net_add_robust_z_spot_2bps_15s,net_add_robust_z_2bps,Pressure,btc,S5,15.0,Spot
absorption_volume_ask_fut_1bps_15s_btc,8.0183,absorption_volume_ask_fut_1bps_15s,absorption_volume_ask_1bps,Absorption,btc,S1,15.0,Futures
net_cancel_robust_z_fut_2bps_15s_btc,7.9505,net_cancel_robust_z_fut_2bps_15s,net_cancel_robust_z_2bps,Pressure,btc,S5,15.0,Futures
queue_pressure_shock_fut_5bps_60s_btc,7.784,queue_pressure_shock_fut_5bps_60s,queue_pressure_shock_5bps,Dynamics,btc,S2,60.0,Futures
z_refill_rate_fut_1bps_15s_btc,7.7275,z_refill_rate_fut_1bps_15s,z_refill_rate_1bps,Normalization,btc,S3,15.0,Futures
z_taker_imbalance_fut_1s_btc,7.7265,z_taker_imbalance_fut_1s,z_taker_imbalance,Normalization,btc,S2,5.0,Futures
trade_count_fut_div_1s_btc,7.7115,trade_count_fut_div_1s,trade_count_div,Cross-Market,btc,S1,,Futures
ca_regime_align_60s_btceth,7.6846,ca_regime_align_60s,ca_regime_align,Cross-Asset,btceth,S6,,Cross-Asset
