base_concept,feature_name,threshold
max_bps_bid,max_bps_bid_fut_1s,0.95
max_bps_bid,max_bps_bid_fut_60s,0.95
median_taker_imbalance,median_taker_imbalance_fut_15s,0.95
median_taker_imbalance,median_taker_imbalance_fut_5s,0.95
median_taker_imbalance,median_taker_imbalance_spot_5s,0.95
median_taker_imbalance,median_taker_imbalance_spot_15s,0.95
mid,mid_fut_1s,0.95
net_pressure_logratio_2bps_5bps,net_pressure_logratio_2bps_5bps_fut_1s,0.95
net_pressure_logratio_2bps_5bps,net_pressure_logratio_2bps_5bps_spot_1s,0.95
net_pressure_logratio_2bps_5bps,net_pressure_logratio_2bps_5bps_spot_15s,0.95
net_pressure_logratio_2bps_5bps,net_pressure_logratio_2bps_5bps_fut_15s,0.95
net_pressure_logratio_5bps_10bps,net_pressure_logratio_5bps_10bps_fut_1s,0.95
net_pressure_logratio_5bps_10bps,net_pressure_logratio_5bps_10bps_spot_1s,0.95
net_pressure_logratio_5bps_10bps,net_pressure_logratio_5bps_10bps_spot_15s,0.95
net_pressure_logratio_5bps_10bps,net_pressure_logratio_5bps_10bps_fut_15s,0.95
range_pct,range_pct_spot_3600s,0.95
range_pos,range_pos_spot_3600s,0.95
range_pos_day,range_pos_day_spot,0.95
refill_vs_pull_1bps,refill_vs_pull_fut_1bps_15s,0.95
refill_vs_pull_1bps,refill_vs_pull_spot_1bps_15s,0.95
refill_vs_pull_2bps,refill_vs_pull_fut_2bps_5s,0.95
refill_vs_pull_2bps,refill_vs_pull_spot_2bps_5s,0.95
trade_count,trade_count_fut_900s,0.95
trade_count,trade_count_fut_300s,0.95
vwap,vwap_fut_1s,0.95
z_lwp_minus_mid_5bps,z_lwp_minus_mid_5bps_300s,0.95
z_price_deviation,z_price_deviation_300s,0.95
